               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              0.0331,            0.080117,            0.020053,              0.7608,             0.44359,             0.51997,              0.2903,            0.034268,            0.061523,            0.022633,            0.006436,            0.006436,            0.006436
                  38,            0.031666,            0.078698,            0.020255,             0.77289,             0.47189,             0.53615,             0.30823,            0.032897,            0.058581,            0.022128,            0.006337,            0.006337,            0.006337
                  39,            0.032351,            0.082254,            0.019612,             0.73159,             0.50303,             0.52544,             0.30593,            0.032128,            0.058711,            0.022552,            0.006238,            0.006238,            0.006238
                  40,            0.032078,            0.078518,            0.019206,             0.76219,             0.49615,             0.56413,             0.32979,            0.030923,            0.059128,            0.021867,            0.006139,            0.006139,            0.006139
                  41,             0.03159,            0.077253,             0.02003,             0.77023,             0.50496,             0.57961,             0.35049,            0.030985,            0.057096,             0.02146,             0.00604,             0.00604,             0.00604
                  42,            0.031454,            0.080064,            0.019201,             0.76218,             0.47356,             0.53223,             0.31741,            0.032594,             0.06088,            0.022032,            0.005941,            0.005941,            0.005941
                  43,            0.031275,            0.075635,            0.018895,             0.74301,             0.49715,             0.56338,             0.33514,            0.033612,            0.060674,            0.021205,            0.005842,            0.005842,            0.005842
                  44,            0.031177,               0.074,            0.018845,             0.75791,             0.46621,             0.55285,             0.33067,              0.0308,            0.060702,            0.021336,            0.005743,            0.005743,            0.005743
                  45,            0.029961,            0.075633,             0.01938,             0.77404,             0.51166,             0.57373,             0.34838,            0.029731,            0.057716,            0.020752,            0.005644,            0.005644,            0.005644
                  46,            0.030614,            0.075471,            0.019295,             0.76188,             0.51695,             0.56966,             0.34652,             0.03007,            0.057854,            0.020577,            0.005545,            0.005545,            0.005545
                  47,            0.029529,            0.076451,            0.018553,             0.77049,             0.50748,             0.58067,             0.35535,            0.030214,            0.057114,            0.020822,            0.005446,            0.005446,            0.005446
                  48,            0.029489,            0.076299,            0.017877,             0.77482,              0.4854,             0.55569,             0.34579,            0.029161,            0.058952,            0.021317,            0.005347,            0.005347,            0.005347
                  49,            0.029448,            0.074624,            0.018576,             0.80487,               0.492,             0.57199,             0.36279,            0.028981,            0.057587,            0.020173,            0.005248,            0.005248,            0.005248
                  50,            0.029092,            0.078515,            0.018102,             0.78777,             0.49621,             0.59124,             0.36608,            0.029259,            0.057816,            0.020139,            0.005149,            0.005149,            0.005149
                  51,            0.027385,            0.073594,            0.018117,             0.77535,             0.49718,             0.59277,             0.36413,            0.030793,            0.060748,            0.020278,             0.00505,             0.00505,             0.00505
                  52,            0.028286,            0.072726,            0.017803,             0.77877,             0.51526,              0.6021,             0.37679,            0.030257,            0.057559,            0.019643,            0.004951,            0.004951,            0.004951
                  53,            0.028966,            0.073615,            0.017143,             0.79713,             0.50696,              0.6019,             0.38174,            0.029408,            0.057426,            0.019866,            0.004852,            0.004852,            0.004852
                  54,            0.028693,            0.071988,            0.017965,             0.76652,             0.50371,             0.59223,             0.36119,            0.031346,            0.059962,            0.020199,            0.004753,            0.004753,            0.004753
                  55,            0.028303,            0.073353,            0.017036,             0.79518,             0.49507,             0.62082,             0.39131,            0.028977,             0.05761,            0.019709,            0.004654,            0.004654,            0.004654
                  56,            0.027305,            0.073138,            0.017142,             0.80212,             0.48422,             0.61161,             0.38101,             0.02923,            0.058492,             0.01931,            0.004555,            0.004555,            0.004555
